epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2650.63,1.28165,0.92394,0.0084,0.82163,0.7267,0.80032,0.55689,1.26,0.99545,0.01017,0.000971133,0.000971133,0.000971133
43,2720.57,1.25189,0.899,0.00921,0.90366,0.69975,0.80985,0.56203,1.23619,0.97778,0.0095,0.000932325,0.000932325,0.000932325
44,2790.4,1.24531,0.87908,0.0088,0.8799,0.68193,0.8024,0.5728,1.2303,1.00209,0.00807,0.000893638,0.000893638,0.000893638
45,2859.72,1.22311,0.86529,0.0081,0.88577,0.71501,0.80883,0.5667,1.2823,0.9618,0.0096,0.00085513,0.00085513,0.00085513
46,2930.19,1.24981,0.88668,0.00871,0.87422,0.72774,0.81412,0.57333,1.26322,0.96068,0.0096,0.000816861,0.000816861,0.000816861
47,3001.04,1.23721,0.85743,0.00833,0.88472,0.70304,0.80355,0.57375,1.24206,0.98625,0.00956,0.000778889,0.000778889,0.000778889
48,3071.65,1.2309,0.86485,0.00834,0.8727,0.7201,0.81433,0.58563,1.22474,0.94236,0.00902,0.000741274,0.000741274,0.000741274
49,3142.42,1.2217,0.84213,0.00826,0.88859,0.71029,0.81179,0.582,1.2257,0.98093,0.00851,0.000704073,0.000704073,0.000704073
50,3213.25,1.18297,0.80481,0.00811,0.90511,0.72816,0.80631,0.59016,1.20379,0.97828,0.00799,0.000667344,0.000667344,0.000667344
51,3283.02,1.2023,0.82249,0.00781,0.85632,0.74312,0.81813,0.59614,1.17748,0.94445,0.00767,0.000631143,0.000631143,0.000631143
52,3352.82,1.20131,0.82545,0.00824,0.91641,0.69466,0.81453,0.57366,1.21475,0.97867,0.00786,0.000595527,0.000595527,0.000595527
53,3422.56,1.16399,0.80247,0.00749,0.8373,0.73028,0.80567,0.5849,1.18855,0.98055,0.0078,0.000560549,0.000560549,0.000560549
54,3492.16,1.17753,0.79352,0.00778,0.87934,0.70468,0.81943,0.58863,1.18625,0.95793,0.00809,0.000526265,0.000526265,0.000526265
55,3561.54,1.16675,0.79044,0.00769,0.89908,0.71247,0.82287,0.58866,1.19757,0.94417,0.00783,0.000492726,0.000492726,0.000492726
56,3630.63,1.16578,0.78029,0.00758,0.8691,0.74046,0.82204,0.60203,1.17019,0.94263,0.00791,0.000459985,0.000459985,0.000459985
57,3700.12,1.13954,0.76015,0.00744,0.87334,0.72774,0.82202,0.59939,1.17772,0.94181,0.00796,0.000428093,0.000428093,0.000428093
58,3769.11,1.14838,0.74552,0.00728,0.86879,0.72449,0.8174,0.59524,1.16227,0.97804,0.00773,0.000397097,0.000397097,0.000397097
59,3838.41,1.17724,0.78482,0.00757,0.89658,0.72519,0.82011,0.59161,1.18227,0.96219,0.00798,0.000367046,0.000367046,0.000367046
60,3907.74,1.12894,0.72293,0.00708,0.89631,0.72584,0.82416,0.5974,1.17463,0.94625,0.00839,0.000337987,0.000337987,0.000337987
61,3977.34,1.15123,0.76389,0.00743,0.86258,0.73471,0.81555,0.59926,1.18661,0.94835,0.00804,0.000309964,0.000309964,0.000309964
62,4047.38,1.12172,0.73162,0.00696,0.85331,0.743,0.8104,0.59274,1.1725,0.96202,0.00784,0.000283021,0.000283021,0.000283021
63,4117.01,1.11839,0.72358,0.00715,0.89762,0.71389,0.81815,0.59921,1.16989,0.9452,0.00789,0.000257198,0.000257198,0.000257198
64,4186.87,1.13637,0.75211,0.00715,0.87239,0.74799,0.82369,0.60357,1.17574,0.94883,0.00747,0.000232536,0.000232536,0.000232536
65,4257.04,1.112,0.71863,0.00697,0.87746,0.73791,0.81894,0.60276,1.1694,0.94557,0.00764,0.000209073,0.000209073,0.000209073
66,4327.02,1.00127,0.59371,0.00673,0.89388,0.70729,0.81316,0.60282,1.17824,0.93048,0.00764,0.000186845,0.000186845,0.000186845
